"Year","Type","NAME","Candidate","Votes","Party","Cast"
"2018","State Representative","1","RODNEY D MONTOYA",8512,"REP","Total"
"2018","State Representative","1","RODNEY D MONTOYA",521,"REP","Absentee"
"2018","State Representative","1","RODNEY D MONTOYA",4651,"REP","Early"
"2018","State Representative","1","RODNEY D MONTOYA",3340,"REP","ElectionDay"
"2018","State Representative","2","JAMES RJ STRICKLER",5437,"REP","Total"
"2018","State Representative","2","JAMES RJ STRICKLER",318,"REP","Absentee"
"2018","State Representative","2","JAMES RJ STRICKLER",2833,"REP","Early"
"2018","State Representative","2","JAMES RJ STRICKLER",2286,"REP","ElectionDay"
"2018","State Representative","3","MARY P SCHILDMEYER",1817,"DEM","Total"
"2018","State Representative","3","MARY P SCHILDMEYER",116,"DEM","Absentee"
"2018","State Representative","3","MARY P SCHILDMEYER",990,"DEM","Early"
"2018","State Representative","3","MARY P SCHILDMEYER",711,"DEM","ElectionDay"
"2018","State Representative","3","PAUL C BANDY",6225,"REP","Total"
"2018","State Representative","3","PAUL C BANDY",376,"REP","Absentee"
"2018","State Representative","3","PAUL C BANDY",3377,"REP","Early"
"2018","State Representative","3","PAUL C BANDY",2472,"REP","ElectionDay"
"2018","State Representative","4","ANTHONY ALLISON",4111,"DEM","Total"
"2018","State Representative","4","ANTHONY ALLISON",92,"DEM","Absentee"
"2018","State Representative","4","ANTHONY ALLISON",1620,"DEM","Early"
"2018","State Representative","4","ANTHONY ALLISON",2399,"DEM","ElectionDay"
"2018","State Representative","4","SHARON E CLAHCHISCHILLIAGE",3766,"REP","Total"
"2018","State Representative","4","SHARON E CLAHCHISCHILLIAGE",160,"REP","Absentee"
"2018","State Representative","4","SHARON E CLAHCHISCHILLIAGE",1531,"REP","Early"
"2018","State Representative","4","SHARON E CLAHCHISCHILLIAGE",2075,"REP","ElectionDay"
"2018","State Representative","5","DOREEN W JOHNSON",6468,"DEM","Total"
"2018","State Representative","5","DOREEN W JOHNSON",103,"DEM","Absentee"
"2018","State Representative","5","DOREEN W JOHNSON",1786,"DEM","Early"
"2018","State Representative","5","DOREEN W JOHNSON",4579,"DEM","ElectionDay"
"2018","State Representative","6","ELISEO LEE ALCON",5876,"DEM","Total"
"2018","State Representative","6","ELISEO LEE ALCON",321,"DEM","Absentee"
"2018","State Representative","6","ELISEO LEE ALCON",1733,"DEM","Early"
"2018","State Representative","6","ELISEO LEE ALCON",3822,"DEM","ElectionDay"
"2018","State Representative","7","LEROY BACA",3576,"DEM","Total"
"2018","State Representative","7","LEROY BACA",604,"DEM","Absentee"
"2018","State Representative","7","LEROY BACA",1346,"DEM","Early"
"2018","State Representative","7","LEROY BACA",1626,"DEM","ElectionDay"
"2018","State Representative","7","KELLY K FAJARDO",4294,"REP","Total"
"2018","State Representative","7","KELLY K FAJARDO",608,"REP","Absentee"
"2018","State Representative","7","KELLY K FAJARDO",1763,"REP","Early"
"2018","State Representative","7","KELLY K FAJARDO",1923,"REP","ElectionDay"
"2018","State Representative","8","ALONZO BALDONADO",6398,"REP","Total"
"2018","State Representative","8","ALONZO BALDONADO",968,"REP","Absentee"
"2018","State Representative","8","ALONZO BALDONADO",3227,"REP","Early"
"2018","State Representative","8","ALONZO BALDONADO",2203,"REP","ElectionDay"
"2018","State Representative","8","MARY JO JARAMILLO",4321,"DEM","Total"
"2018","State Representative","8","MARY JO JARAMILLO",962,"DEM","Absentee"
"2018","State Representative","8","MARY JO JARAMILLO",2073,"DEM","Early"
"2018","State Representative","8","MARY JO JARAMILLO",1286,"DEM","ElectionDay"
"2018","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",5322,"DEM","Total"
"2018","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",93,"DEM","Absentee"
"2018","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",1539,"DEM","Early"
"2018","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",3690,"DEM","ElectionDay"
"2018","State Representative","10","G ANDRES ROMERO",4927,"DEM","Total"
"2018","State Representative","10","G ANDRES ROMERO",377,"DEM","Absentee"
"2018","State Representative","10","G ANDRES ROMERO",2400,"DEM","Early"
"2018","State Representative","10","G ANDRES ROMERO",2150,"DEM","ElectionDay"
"2018","State Representative","11","JAVIER I MARTINEZ",9875,"DEM","Total"
"2018","State Representative","11","JAVIER I MARTINEZ",785,"DEM","Absentee"
"2018","State Representative","11","JAVIER I MARTINEZ",6402,"DEM","Early"
"2018","State Representative","11","JAVIER I MARTINEZ",2688,"DEM","ElectionDay"
"2018","State Representative","12","PATRICIO R RUILOBA",4326,"DEM","Total"
"2018","State Representative","12","PATRICIO R RUILOBA",333,"DEM","Absentee"
"2018","State Representative","12","PATRICIO R RUILOBA",2171,"DEM","Early"
"2018","State Representative","12","PATRICIO R RUILOBA",1822,"DEM","ElectionDay"
"2018","State Representative","13","PATRICIA A ROYBAL CABALLERO",4749,"DEM","Total"
"2018","State Representative","13","PATRICIA A ROYBAL CABALLERO",230,"DEM","Absentee"
"2018","State Representative","13","PATRICIA A ROYBAL CABALLERO",2557,"DEM","Early"
"2018","State Representative","13","PATRICIA A ROYBAL CABALLERO",1962,"DEM","ElectionDay"
"2018","State Representative","14","MIGUEL P GARCIA",5370,"DEM","Total"
"2018","State Representative","14","MIGUEL P GARCIA",446,"DEM","Absentee"
"2018","State Representative","14","MIGUEL P GARCIA",2851,"DEM","Early"
"2018","State Representative","14","MIGUEL P GARCIA",2073,"DEM","ElectionDay"
"2018","State Representative","15","BRAD WINTER",6043,"REP","Total"
"2018","State Representative","15","BRAD WINTER",734,"REP","Absentee"
"2018","State Representative","15","BRAD WINTER",3796,"REP","Early"
"2018","State Representative","15","BRAD WINTER",1513,"REP","ElectionDay"
"2018","State Representative","15","DAYAN M HOCHMAN",6583,"DEM","Total"
"2018","State Representative","15","DAYAN M HOCHMAN",605,"DEM","Absentee"
"2018","State Representative","15","DAYAN M HOCHMAN",4501,"DEM","Early"
"2018","State Representative","15","DAYAN M HOCHMAN",1477,"DEM","ElectionDay"
"2018","State Representative","16","ANTONIO 'MOE' MAESTAS",7694,"DEM","Total"
"2018","State Representative","16","ANTONIO 'MOE' MAESTAS",634,"DEM","Absentee"
"2018","State Representative","16","ANTONIO 'MOE' MAESTAS",4859,"DEM","Early"
"2018","State Representative","16","ANTONIO 'MOE' MAESTAS",2201,"DEM","ElectionDay"
"2018","State Representative","17","RAY L GALLEGOS",3789,"REP","Total"
"2018","State Representative","17","RAY L GALLEGOS",461,"REP","Absentee"
"2018","State Representative","17","RAY L GALLEGOS",2241,"REP","Early"
"2018","State Representative","17","RAY L GALLEGOS",1087,"REP","ElectionDay"
"2018","State Representative","17","DEBORAH A ARMSTRONG",7027,"DEM","Total"
"2018","State Representative","17","DEBORAH A ARMSTRONG",591,"DEM","Absentee"
"2018","State Representative","17","DEBORAH A ARMSTRONG",4707,"DEM","Early"
"2018","State Representative","17","DEBORAH A ARMSTRONG",1729,"DEM","ElectionDay"
"2018","State Representative","18","GAIL CHASEY",9677,"DEM","Total"
"2018","State Representative","18","GAIL CHASEY",757,"DEM","Absentee"
"2018","State Representative","18","GAIL CHASEY",6121,"DEM","Early"
"2018","State Representative","18","GAIL CHASEY",2799,"DEM","ElectionDay"
"2018","State Representative","19","SHERYL M WILLIAMS STAPLETON",7944,"DEM","Total"
"2018","State Representative","19","SHERYL M WILLIAMS STAPLETON",742,"DEM","Absentee"
"2018","State Representative","19","SHERYL M WILLIAMS STAPLETON",4997,"DEM","Early"
"2018","State Representative","19","SHERYL M WILLIAMS STAPLETON",2205,"DEM","ElectionDay"
"2018","State Representative","20","JIM DINES",5781,"REP","Total"
"2018","State Representative","20","JIM DINES",717,"REP","Absentee"
