"Year","Type","Type_Sub","Candidate","Party","Votes","Percent","Winner"
"2018","State Representative","1","RODNEY D MONTOYA","REP",8512,1,"Winner"
"2018","State Representative","10","G ANDRES ROMERO","DEM",4927,1,"Winner"
"2018","State Representative","11","JAVIER I MARTINEZ","DEM",9875,1,"Winner"
"2018","State Representative","12","PATRICIO R RUILOBA","DEM",4326,1,"Winner"
"2018","State Representative","13","PATRICIA A ROYBAL CABALLERO","DEM",4749,1,"Winner"
"2018","State Representative","14","MIGUEL P GARCIA","DEM",5370,1,"Winner"
"2018","State Representative","15","DAYAN M HOCHMAN","DEM",6583,0.521,"Winner"
"2018","State Representative","15","BRAD WINTER","REP",6043,0.479,""
"2018","State Representative","16","ANTONIO 'MOE' MAESTAS","DEM",7694,1,"Winner"
"2018","State Representative","17","DEBORAH A ARMSTRONG","DEM",7027,0.65,"Winner"
"2018","State Representative","17","RAY L GALLEGOS","REP",3789,0.35,""
"2018","State Representative","18","GAIL CHASEY","DEM",9677,1,"Winner"
"2018","State Representative","19","SHERYL M WILLIAMS STAPLETON","DEM",7944,1,"Winner"
"2018","State Representative","2","JAMES RJ STRICKLER","REP",5437,1,"Winner"
"2018","State Representative","20","ABBAS A AKHIL","DEM",5896,0.505,"Winner"
"2018","State Representative","20","JIM DINES","REP",5781,0.495,""
"2018","State Representative","21","DEBRA MARIE SARINANA","DEM",4077,1,"Winner"
"2018","State Representative","22","JESSICA P VELASQUEZ","DEM",8058,0.496,""
"2018","State Representative","22","GREGG WILLIAM SCHMEDES","REP",8198,0.504,"Winner"
"2018","State Representative","23","DAYMON B ELY","DEM",7294,0.571,"Winner"
"2018","State Representative","23","BRENDA DIANE BOATMAN","REP",5472,0.429,""
"2018","State Representative","24","ELIZABETH L THOMSON","DEM",6734,0.58,"Winner"
"2018","State Representative","24","TREY STEPHEN MORRIS","REP",4872,0.42,""
"2018","State Representative","25","CHRISTINE TRUJILLO","DEM",8081,0.689,"Winner"
"2018","State Representative","25","JOAN ANTOINETTE MARENTES","REP",3644,0.311,""
"2018","State Representative","26","GEORGENE LOUIS","DEM",4313,1,"Winner"
"2018","State Representative","27","WILLIAM B PRATT","DEM",7199,0.507,"Winner"
"2018","State Representative","27","ROBERT S GODSHALL","REP",7006,0.493,""
"2018","State Representative","28","MELANIE ANN STANSBURY","DEM",7335,0.537,"Winner"
"2018","State Representative","28","JIMMIE C HALL","REP",6326,0.463,""
"2018","State Representative","29","JOY I GARRATT","DEM",7296,0.541,"Winner"
"2018","State Representative","29","DAVID E ADKINS","REP",6184,0.459,""
"2018","State Representative","3","MARY P SCHILDMEYER","DEM",1817,0.226,""
"2018","State Representative","3","PAUL C BANDY","REP",6225,0.774,"Winner"
"2018","State Representative","30","NATALIE R FIGUEROA","DEM",6773,0.58,"Winner"
"2018","State Representative","30","JOHN L JONES","REP",4898,0.42,""
"2018","State Representative","31","WILLIAM ARNOLD WILEY JR","LIB",5377,0.357,""
"2018","State Representative","31","WILLIAM R REHM","REP",9675,0.643,"Winner"
"2018","State Representative","32","CANDIE G SWEETSER","DEM",4846,0.64,"Winner"
"2018","State Representative","32","LAURA C BOYD","REP",2721,0.36,""
"2018","State Representative","33","MICAELA LARA CADENA","DEM",5781,0.654,"Winner"
"2018","State Representative","33","CHARLES R WENDLER","REP",3061,0.346,""
"2018","State Representative","34","RAYMUNDO LARA","DEM",4635,1,"Winner"
"2018","State Representative","35","ANGELICA RUBIO","DEM",5778,0.647,"Winner"
"2018","State Representative","35","JONATHAN KYLE ALLEN","REP",3159,0.353,""
"2018","State Representative","36","NATHAN P SMALL","DEM",5262,0.605,"Winner"
"2018","State Representative","36","DAVID H TOFSTED","REP",3442,0.395,""
"2018","State Representative","37","JOANNE J FERRARY","DEM",7741,0.597,"Winner"
"2018","State Representative","37","BEV COURTNEY","REP",5219,0.403,""
"2018","State Representative","38","KAREN C WHITLOCK","DEM",5593,0.457,""
"2018","State Representative","38","REBECCA L DOW","REP",6634,0.543,"Winner"
"2018","State Representative","39","RODOLPHO S MARTINEZ","DEM",5282,0.581,"Winner"
"2018","State Representative","39","LEE S COTTER","REP",3812,0.419,""
"2018","State Representative","4","ANTHONY ALLISON","DEM",4111,0.522,"Winner"
"2018","State Representative","4","SHARON E CLAHCHISCHILLIAGE","REP",3766,0.478,""
"2018","State Representative","40","JOSEPH L SANCHEZ","DEM",8277,0.808,"Winner"
"2018","State Representative","40","T TWEETI BLANCETT","IND",1973,0.192,""
"2018","State Representative","41","SUSAN K HERRERA","DEM",7939,1,"Winner"
"2018","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES","DEM",10433,1,"Winner"
"2018","State Representative","43","CHRISTINE CHANDLER","DEM",8311,0.621,"Winner"
"2018","State Representative","43","LISA SHIN","REP",5076,0.379,""
"2018","State Representative","44","BENTON HOWELL","DEM",6712,0.453,""
"2018","State Representative","44","JANE E POWDRELL-CULBERT","REP",8116,0.547,"Winner"
"2018","State Representative","45","JIM R TRUJILLO","DEM",9590,1,"Winner"
"2018","State Representative","46","ANDREA D ROMERO","DEM",8624,0.751,"Winner"
"2018","State Representative","46","HEATHER NORDQUIST (write in)","DEM",2865,0.249,""
"2018","State Representative","47","BRIAN F EGOLF JR","DEM",14481,1,"Winner"
"2018","State Representative","48","LINDA M TRUJILLO","DEM",10759,1,"Winner"
"2018","State Representative","49","GAIL 'MISSY' ARMSTRONG","REP",7498,1,"Winner"
"2018","State Representative","5","DOREEN W JOHNSON","DEM",6468,1,"Winner"
"2018","State Representative","50","MATTHEW MCQUEEN","DEM",7490,0.589,"Winner"
"2018","State Representative","50","JARRATT APPLEWHITE","IND",5222,0.411,""
"2018","State Representative","51","JEFF SWANSON","DEM",3045,0.357,""
"2018","State Representative","51","RACHEL A BLACK","REP",5486,0.643,"Winner"
"2018","State Representative","52","DOREEN YBARRA GALLEGOS","DEM",4553,0.665,"Winner"
"2018","State Representative","52","DAVID L CHEEK","REP",2293,0.335,""
"2018","State Representative","53","WILLIE A MADRID","DEM",2425,0.532,"Winner"
"2018","State Representative","53","RICKY L LITTLE","REP",2134,0.468,""
"2018","State Representative","54","JAMES G TOWNSEND","REP",6773,1,"Winner"
"2018","State Representative","55","CATHRYNN N BROWN","REP",7755,1,"Winner"
"2018","State Representative","56","ZACH J COOK","REP",6646,1,"Winner"
"2018","State Representative","57","BILLIE ANN HELEAN","DEM",5033,0.489,""
"2018","State Representative","57","JASON CARL HARPER","REP",5250,0.511,"Winner"
"2018","State Representative","58","CANDY SPENCE EZZELL","REP",3857,1,"Winner"
"2018","State Representative","59","CARL M SWINNEY","LIB",2376,0.232,""
"2018","State Representative","59","GREG NIBERT","REP",7862,0.768,"Winner"
"2018","State Representative","6","ELISEO LEE ALCON","DEM",5876,1,"Winner"
"2018","State Representative","60","ALEXIS JIMENEZ","DEM",5468,0.472,""
"2018","State Representative","60","TIM D LEWIS","REP",6124,0.528,"Winner"
"2018","State Representative","61","DAVID M GALLEGOS","REP",3530,1,"Winner"
"2018","State Representative","62","LARRY R SCOTT","REP",6561,1,"Winner"
"2018","State Representative","63","GEORGE DODGE JR","DEM",2955,0.498,""
"2018","State Representative","63","MARTIN RUBEN ZAMORA","REP",2982,0.502,"Winner"
"2018","State Representative","64","RANDAL S CROWDER","REP",5687,1,"Winner"
"2018","State Representative","65","DERRICK J LENTE","DEM",6359,1,"Winner"
"2018","State Representative","66","PHELPS ANDERSON","REP",6802,1,"Winner"
"2018","State Representative","67","MARK D MCDONALD","DEM",3549,0.378,""
"2018","State Representative","67","JACKEY O CHATFIELD","REP",5842,0.622,"Winner"
"2018","State Representative","68","KAREN C BASH","DEM",6872,0.58,"Winner"
"2018","State Representative","68","MONICA C YOUNGBLOOD","REP",4978,0.42,""
"2018","State Representative","69","HARRY GARCIA","DEM",5721,1,"Winner"
"2018","State Representative","7","LEROY BACA","DEM",3576,0.454,""
"2018","State Representative","7","KELLY K FAJARDO","REP",4294,0.546,"Winner"
"2018","State Representative","70","TOMAS E SALAZAR","DEM",6927,1,"Winner"
"2018","State Representative","8","MARY JO JARAMILLO","DEM",4321,0.403,""
"2018","State Representative","8","ALONZO BALDONADO","REP",6398,0.597,"Winner"
"2018","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM","DEM",5322,1,"Winner"
"2018","United States Senator","United States Senator","MARTIN T HEINRICH","DEM",376998,0.541,"Winner"
"2018","United States Senator","United States Senator","GARY E JOHNSON","LIB",107201,0.154,""
"2018","United States Senator","United States Senator","MICK RICH","REP",212813,0.305,""
"2018","United States Representative","1","DEBRA A HAALAND","DEM",147336,0.591,"Winner"
"2018","United States Representative","1","LLOYD J PRINCETON","LIB",11319,0.045,""
"2018","United States Representative","1","JANICE E ARNOLD-JONES","REP",90507,0.363,""
"2018","United States Representative","2","XOCHITL TORRES SMALL","DEM",101489,0.509,"Winner"
"2018","United States Representative","2","YVETTE HERRELL","REP",97767,0.491,""
"2018","United States Representative","3","BEN R LUJAN","DEM",155201,0.634,"Winner"
"2018","United States Representative","3","CHRISTOPHER MANNING","LIB",13265,0.054,""
"2018","United States Representative","3","JERALD STEVE MCFALL","REP",76427,0.312,""
"2018","Governor and Lieutenant Governor","Governor and Lieutenant Governor","STEVE PEARCE AND MICHELLE GARCIA HOLMES","REP",298091,0.428,""
"2018","Governor and Lieutenant Governor","Governor and Lieutenant Governor","MICHELLE LUJAN GRISHAM AND HOWIE C MORALES","DEM",398368,0.572,"Winner"
"2018","Judge of the Court of Appeals Position 3","Judge of the Court of Appeals Position 3","BRIANA H ZAMORA","DEM",390971,0.578,"Winner"
"2018","Judge of the Court of Appeals Position 3","Judge of the Court of Appeals Position 3","EMIL J KIEHNE","REP",285554,0.422,""
"2018","Judge of the Court of Appeals Position 4","Judge of the Court of Appeals Position 4","MEGAN P DUFFY","DEM",367522,0.545,"Winner"
"2018","Judge of the Court of Appeals Position 4","Judge of the Court of Appeals Position 4","DANIEL JOSE GALLEGOS","REP",306814,0.455,""
"2018","Judge of the Court of Appeals Position 5","Judge of the Court of Appeals Position 5","JENNIFER L ATTREP","DEM",466482,1,"Winner"
"2018","Secretary of State","Secretary of State","MAGGIE TOULOUSE OLIVER","DEM",399134,0.578,"Winner"
"2018","Secretary of State","Secretary of State","GINGER G GRIDER","LIB",34527,0.05,""
"2018","Secretary of State","Secretary of State","GAVIN S CLARKSON","REP",257306,0.372,""
"2018","State Auditor","State Auditor","WAYNE A JOHNSON","REP",291714,0.424,""
"2018","State Auditor","State Auditor","BRIAN S COLÓN","DEM",395714,0.576,"Winner"
"2018","State Treasurer","State Treasurer","TIM EICHENBERG","DEM",394780,0.579,"Winner"
"2018","State Treasurer","State Treasurer","ARTHUR L CASTILLO","REP",286822,0.421,""
"2018","Attorney General","Attorney General","A BLAIR DUNN","LIB",32931,0.048,""
"2018","Attorney General","Attorney General","MICHAEL EUGENE HENDRICKS","REP",231296,0.334,""
"2018","Attorney General","Attorney General","HECTOR BALDERAS","DEM",427583,0.618,"Winner"
"2018","Commissioner of Public Lands","Commissioner of Public Lands","STEPHANIE GARCIA RICHARD","DEM",352335,0.511,"Winner"
"2018","Commissioner of Public Lands","Commissioner of Public Lands","PATRICK H LYONS","REP",297379,0.431,""
"2018","Commissioner of Public Lands","Commissioner of Public Lands","MICHAEL G LUCERO","LIB",39791,0.058,""
"2018","Justice of the Supreme Court","Justice of the Supreme Court","MICHAEL E VIGIL","DEM",403573,0.592,"Winner"
"2018","Justice of the Supreme Court","Justice of the Supreme Court","GARY L CLINGMAN","REP",278502,0.408,""
"2018","Judge of the Court of Appeals Position 1","Judge of the Court of Appeals Position 1","KRISTINA BOGARDUS","DEM",370314,0.546,"Winner"
"2018","Judge of the Court of Appeals Position 1","Judge of the Court of Appeals Position 1","STEPHEN G FRENCH","REP",308146,0.454,""
"2018","Judge of the Court of Appeals Position 2","Judge of the Court of Appeals Position 2","JACQUELINE R MEDINA","DEM",391429,0.578,"Winner"
"2018","Judge of the Court of Appeals Position 2","Judge of the Court of Appeals Position 2","HANK BOHNHOFF","REP",285681,0.422,""
"2016","State Representative","1","RODNEY D MONTOYA","REP",10717,1,"Winner"
"2016","State Representative","10","G ANDRES ROMERO","DEM",4821,0.674,"Winner"
"2016","State Representative","10","ROBERT A SCHILLER","IND",2337,0.326,""
"2016","State Representative","11","JAVIER I MARTINEZ","DEM",10118,1,"Winner"
"2016","State Representative","12","PATRICIO R RUILOBA","DEM",5036,1,"Winner"
"2016","State Representative","13","PATRICIA A ROYBAL CABALLERO","DEM",5525,1,"Winner"
"2016","State Representative","14","MIGUEL P GARCIA","DEM",6209,1,"Winner"
"2016","State Representative","15","SARAH MAESTAS BARNES","REP",7358,0.532,"Winner"
"2016","State Representative","15","ANE C ROMERO","DEM",6467,0.468,""
"2016","State Representative","16","ANTONIO 'MOE' MAESTAS","DEM",8256,1,"Winner"
"2016","State Representative","17","DEBORAH A ARMSTRONG","DEM",8640,1,"Winner"
"2016","State Representative","18","GAIL CHASEY","DEM",9922,1,"Winner"
"2016","State Representative","19","SHERYL M WILLIAMS STAPLETON","DEM",8289,1,"Winner"
"2016","State Representative","2","JAMES RJ STRICKLER","REP",6083,0.72,"Winner"
"2016","State Representative","2","KENNETH R ROBINSON","DEM",2369,0.28,""
"2016","State Representative","20","JIM DINES","REP",7350,0.577,"Winner"
"2016","State Representative","20","GIOVANNI ALEXANDER HAQANI","DEM",5389,0.423,""
"2016","State Representative","21","DEBRA MARIE SARINANA","DEM",4685,1,"Winner"
"2016","State Representative","22","JAMES E SMITH","REP",9630,0.562,"Winner"
"2016","State Representative","22","JOHN M WALLACE","DEM",7510,0.438,""
"2016","State Representative","23","PAUL A PACHECO","REP",7022,0.496,""
"2016","State Representative","23","DAYMON B ELY","DEM",7127,0.504,"Winner"
"2016","State Representative","24","CHRISTINA MARIE HALL","REP",6198,0.477,""
"2016","State Representative","24","ELIZABETH L THOMSON","DEM",6798,0.523,"Winner"
"2016","State Representative","25","CHRISTINE TRUJILLO","DEM",9807,1,"Winner"
"2016","State Representative","26","GEORGENE LOUIS","DEM",4800,1,"Winner"
"2016","State Representative","27","LORENZO A LARRAÑAGA","REP",9110,0.585,"Winner"
"2016","State Representative","27","RONALD E KRISE","DEM",6457,0.415,""
"2016","State Representative","28","JIMMIE C HALL","REP",10279,1,"Winner"
"2016","State Representative","29","DAVID E ADKINS","REP",6977,0.5,"Winner"
"2016","State Representative","29","RONNIE MARTINEZ","DEM",6968,0.5,""
"2016","State Representative","3","PAUL C BANDY","REP",8299,1,"Winner"
"2016","State Representative","30","NATE GENTRY","REP",6841,0.522,"Winner"
"2016","State Representative","30","NATALIE R FIGUEROA","DEM",6267,0.478,""
"2016","State Representative","31","WILLIAM R REHM","REP",10760,0.604,"Winner"
"2016","State Representative","31","ROBERT L SCOTT","DEM",7051,0.396,""
"2016","State Representative","32","VICKI K CHAVEZ","REP",4256,0.487,""
"2016","State Representative","32","CANDIE G SWEETSER","DEM",4486,0.513,"Winner"
"2016","State Representative","33","NEAL L HOOKS","REP",3619,0.354,""
"2016","State Representative","33","BILL MCCAMLEY","DEM",6605,0.646,"Winner"
"2016","State Representative","34","BEALQUIN BILL GOMEZ","DEM",5757,1,"Winner"
"2016","State Representative","35","JOSEPH E BISHOP","REP",3782,0.371,""
"2016","State Representative","35","ANGELICA RUBIO","DEM",6412,0.629,"Winner"
"2016","State Representative","36","ANDREW ANDY NUNEZ","REP",4184,0.435,""
"2016","State Representative","36","NATHAN P SMALL","DEM",5435,0.565,"Winner"
"2016","State Representative","37","TERRY H MCMILLAN","REP",6760,0.475,""
"2016","State Representative","37","JOANNE J FERRARY","DEM",7483,0.525,"Winner"
"2016","State Representative","38","REBECCA L DOW","REP",7149,0.548,"Winner"
"2016","State Representative","38","MARY E HOTVEDT","DEM",5900,0.452,""
"2016","State Representative","39","JOHN L ZIMMERMAN","REP",4880,0.489,""
"2016","State Representative","39","RODOLPHO S MARTINEZ","DEM",5103,0.511,"Winner"
"2016","State Representative","4","SHARON E CLAHCHISCHILLIAGE","REP",5056,0.543,"Winner"
"2016","State Representative","4","GLOJEAN B TODACHEENE","DEM",4257,0.457,""
"2016","State Representative","40","NICK L SALAZAR","DEM",9038,1,"Winner"
"2016","State Representative","41","DEBBIE A RODELLA","DEM",8088,1,"Winner"
"2016","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES","DEM",10654,1,"Winner"
"2016","State Representative","43","SHARON STOVER","REP",5910,0.412,""
"2016","State Representative","43","STEPHANIE GARCIA RICHARD","DEM",8452,0.588,"Winner"
"2016","State Representative","44","JANE E POWDRELL-CULBERT","REP",12245,1,"Winner"
"2016","State Representative","45","JIM R TRUJILLO","DEM",9425,1,"Winner"
"2016","State Representative","46","CARL TRUJILLO","DEM",11563,1,"Winner"
"2016","State Representative","47","ROGER ANDREW GONZALES","REP",3675,0.211,""
"2016","State Representative","47","BRIAN F EGOLF JR","DEM",13740,0.789,"Winner"
"2016","State Representative","48","LINDA M TRUJILLO","DEM",10572,1,"Winner"
"2016","State Representative","49","DON TRIPP","REP",8864,1,"Winner"
"2016","State Representative","5","DOREEN W JOHNSON","DEM",7558,1,"Winner"
"2016","State Representative","50","JEREMY RYAN TREMKO","REP",5805,0.415,""
"2016","State Representative","50","MATTHEW MCQUEEN","DEM",8187,0.585,"Winner"
"2016","State Representative","51","YVETTE S HERRELL","REP",6447,0.658,"Winner"
"2016","State Representative","51","DENISE A LANG","DEM",3353,0.342,""
"2016","State Representative","52","DOREEN YBARRA GALLEGOS","DEM",5796,1,"Winner"
"2016","State Representative","53","RICKY L LITTLE","REP",2804,0.513,"Winner"
"2016","State Representative","53","WILLIE A MADRID","DEM",2666,0.487,""
"2016","State Representative","54","JAMES G TOWNSEND","REP",7098,0.756,"Winner"
"2016","State Representative","54","FREDDIE JOE NICHOLS III","IND",2292,0.244,""
"2016","State Representative","55","CATHRYNN N BROWN","REP",9280,1,"Winner"
"2016","State Representative","56","ZACH J COOK","REP",7672,1,"Winner"
"2016","State Representative","57","JASON CARL HARPER","REP",6117,0.55,"Winner"
"2016","State Representative","57","DONNA I TILLMAN","DEM",5013,0.45,""
"2016","State Representative","58","CANDY SPENCE EZZELL","REP",5001,1,"Winner"
"2016","State Representative","59","GREG NIBERT","REP",8594,0.713,"Winner"
"2016","State Representative","59","RICHARD JAMES GARCIA","DEM",3465,0.287,""
"2016","State Representative","6","ELISEO LEE ALCON","DEM",6707,1,"Winner"
"2016","State Representative","60","TIM D LEWIS","REP",9824,1,"Winner"
"2016","State Representative","61","DAVID M GALLEGOS","REP",4735,1,"Winner"
"2016","State Representative","62","LARRY R SCOTT","REP",7948,1,"Winner"
"2016","State Representative","63","GEORGE DODGE JR","DEM",5142,1,"Winner"
"2016","State Representative","64","RANDAL S CROWDER","REP",7732,1,"Winner"
"2016","State Representative","65","DERRICK J LENTE","DEM",7162,1,"Winner"
"2016","State Representative","66","BOB WOOLEY","REP",8427,1,"Winner"
"2016","State Representative","67","DENNIS J ROCH","REP",8464,1,"Winner"
"2016","State Representative","68","MONICA C YOUNGBLOOD","REP",9637,1,"Winner"
"2016","State Representative","69","HARRY GARCIA","DEM",6155,1,"Winner"
"2016","State Representative","7","KELLY K FAJARDO","REP",5149,0.565,"Winner"
"2016","State Representative","7","ARTURO FIERRO","DEM",3964,0.435,""
"2016","State Representative","70","TOMAS E SALAZAR","DEM",8125,1,"Winner"
"2016","State Representative","8","ALONZO BALDONADO","REP",7251,0.617,"Winner"
"2016","State Representative","8","JIM D DANNER","DEM",4493,0.383,""
"2016","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM","DEM",6446,1,"Winner"
"2016","State Senator","1","WILLIAM E SHARER","REP",11170,0.698,"Winner"
"2016","State Senator","1","REBECCA MORGAN","DEM",4834,0.302,""
"2016","State Senator","10","CANDACE RUTH GOULD","REP",10530,0.509,"Winner"
"2016","State Senator","10","DAVID J SIMON","DEM",10151,0.491,""
"2016","State Senator","11","LINDA M LOPEZ","DEM",8776,1,"Winner"
"2016","State Senator","12","GERALD P ORTIZ Y PINO","DEM",12922,1,"Winner"
"2016","State Senator","13","AUBREY B DUNN","REP",7294,0.341,""
"2016","State Senator","13","BILL B O'NEILL","DEM",14089,0.659,"Winner"
"2016","State Senator","14","MICHAEL PADILLA","DEM",9668,1,"Winner"
"2016","State Senator","15","ERIC LYON BURTON","REP",8981,0.442,""
"2016","State Senator","15","DANIEL A IVEY-SOTO","DEM",11321,0.558,"Winner"
"2016","State Senator","16","CISCO MCSORLEY","DEM",16721,1,"Winner"
"2016","State Senator","17","MIMI STEWART","DEM",8456,1,"Winner"
"2016","State Senator","18","LISA TORRACO","REP",11750,0.491,""
"2016","State Senator","18","BILL G TALLMAN","DEM",12203,0.509,"Winner"
"2016","State Senator","19","JAMES P WHITE","REP",14905,0.613,"Winner"
"2016","State Senator","19","HAROLD W MURPHREE","DEM",9415,0.387,""
"2016","State Senator","2","STEVEN P NEVILLE","REP",15057,1,"Winner"
"2016","State Senator","20","WILLIAM H PAYNE","REP",16893,1,"Winner"
"2016","State Senator","21","MARK DAVID MOORES","REP",14164,0.561,"Winner"
"2016","State Senator","21","GREGORY B FRAZIER","DEM",11087,0.439,""
"2016","State Senator","22","BENNY SHENDO JR","DEM",12472,1,"Winner"
"2016","State Senator","23","SANDER RUE","REP",11794,0.517,"Winner"
"2016","State Senator","23","JOY I GARRATT","DEM",11001,0.483,""
"2016","State Senator","24","NANCY RODRIGUEZ","DEM",16155,1,"Winner"
"2016","State Senator","25","PETER WIRTH","DEM",26958,1,"Winner"
"2016","State Senator","26","JACOB CANDELARIA","DEM",11330,1,"Winner"
"2016","State Senator","27","STUART INGLE","REP",12589,1,"Winner"
"2016","State Senator","28","HOWIE C MORALES","DEM",15063,1,"Winner"
"2016","State Senator","29","GREGORY A BACA","REP",8965,0.55,"Winner"
"2016","State Senator","29","MICHAEL S SANCHEZ","DEM",7348,0.45,""
"2016","State Senator","3","JOHN PINTO","DEM",12519,1,"Winner"
"2016","State Senator","30","CLEMENTE SANCHEZ","DEM",11973,1,"Winner"
"2016","State Senator","31","JOSEPH CERVANTES","DEM",9443,1,"Winner"
"2016","State Senator","32","CLIFF R PIRTLE","REP",8480,1,"Winner"
"2016","State Senator","33","WILLIAM F BURT","REP",14648,1,"Winner"
"2016","State Senator","34","RON GRIGGS","REP",11542,1,"Winner"
"2016","State Senator","35","JOHN ARTHUR SMITH","DEM",12502,1,"Winner"
"2016","State Senator","36","LEE S COTTER","REP",7158,0.404,""
"2016","State Senator","36","JEFF STEINBORN","DEM",10579,0.596,"Winner"
"2016","State Senator","37","CECELIA H LEVATINO","REP",9131,0.445,""
"2016","State Senator","37","WILLIAM P SOULES","DEM",11374,0.555,"Winner"
"2016","State Senator","38","CHARLES R WENDLER","REP",4713,0.33,""
"2016","State Senator","38","MARY KAY PAPEN","DEM",9588,0.67,"Winner"
"2016","State Senator","39","ELIZABETH LIZ STEFANICS","DEM",9622,1,"Winner"
"2016","State Senator","4","GEORGE K MUNOZ","DEM",12029,1,"Winner"
"2016","State Senator","40","CRAIG W BRANDT","REP",12490,0.553,"Winner"
"2016","State Senator","40","LINDA SANCHEZ ALLISON","DEM",10099,0.447,""
"2016","State Senator","41","CARROLL H LEAVELL","REP",9006,1,"Winner"
"2016","State Senator","42","GAY G KERNAN","REP",15206,1,"Winner"
"2016","State Senator","5","RICHARD C MARTINEZ","DEM",15535,1,"Winner"
"2016","State Senator","6","CARLOS R CISNEROS","DEM",17697,1,"Winner"
"2016","State Senator","7","JOHN PATRICK WOODS","REP",12778,1,"Winner"
"2016","State Senator","8","PETE CAMPOS","DEM",14258,1,"Winner"
"2016","State Senator","9","DIEGO L ESPINOZA","REP",12534,0.496,""
"2016","State Senator","9","JOHN M SAPIEN","DEM",12724,0.504,"Winner"
"2016","President and Vice President of the United States","President and Vice President of the United States","DONALD J TRUMP AND MICHAEL R PENCE","REP",319667,0.401,""
"2016","President and Vice President of the United States","President and Vice President of the United States","HILLARY RODHAM CLINTON AND TIMOTHY MICHAEL KAINE","DEM",385234,0.483,"Winner"
